,EventName,RoundNumber,eventYear,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,StintLen,CircuitLength,designedLaps
70,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,BOT,3.0,94.956,Qualifying,28.0,30.426666666666666,61.50666666666666,0.0,2.0,5.0,3.0,1.0,15.0,5.554,55
71,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,GAS,2.0,98.166,Qualifying,30.05882352941176,32.21176470588235,51.41764705882353,0.0,17.0,16.0,2.0,1.0,17.0,5.554,55
72,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,HAM,1.0,94.794,Qualifying,32.54285714285714,34.51428571428572,37.81428571428571,0.0,1.0,1.0,1.0,4.0,7.0,5.554,55
73,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,HAR,1.0,97.994,Qualifying,32.3,34.1,38.7,0.0,16.0,12.0,1.0,,1.0,5.554,55
74,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,HAR,2.0,97.994,Qualifying,32.5,34.7,38.2,0.0,16.0,12.0,2.0,,1.0,5.554,55
75,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,MAG,2.0,97.309,Qualifying,27.892307692307693,30.415384615384617,62.01538461538461,0.0,13.0,10.0,2.0,1.0,13.0,5.554,55
76,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,PER,1.0,97.255,Qualifying,32.85769230769231,34.22692307692307,37.87692307692308,0.0,14.0,8.0,1.0,1.0,26.0,5.554,55
77,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,RAI,1.0,95.365,Qualifying,32.57142857142857,34.471428571428575,37.785714285714285,0.0,4.0,19.0,1.0,5.0,7.0,5.554,55
78,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,RIC,1.0,95.401,Qualifying,32.27272727272727,33.71818181818182,40.85454545454545,0.12121212121212122,5.0,4.0,1.0,5.0,33.0,5.554,55
79,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,SAI,1.0,96.982,Qualifying,31.978378378378387,33.524324324324326,42.29189189189189,0.08108108108108109,11.0,6.0,1.0,1.0,37.0,5.554,55
80,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,SIR,2.0,98.635,Qualifying,28.41578947368421,30.89473684210527,59.43684210526317,0.0,19.0,15.0,2.0,1.0,19.0,5.554,55
81,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,STR,2.0,98.682,Qualifying,27.82857142857143,30.285714285714285,62.32857142857143,0.0,20.0,13.0,2.0,1.0,14.0,5.554,55
82,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,VAN,2.0,98.577,Qualifying,28.463157894736838,30.894736842105264,59.284210526315796,0.0,18.0,14.0,2.0,1.0,19.0,5.554,55
83,Abu Dhabi Grand Prix,21,2018,ULTRASOFT,VET,1.0,95.125,Qualifying,32.806666666666665,34.413333333333334,37.16666666666667,0.0,3.0,2.0,1.0,4.0,15.0,5.554,55
84,Abu Dhabi Grand Prix,21,2019,HARD,ALB,2.0,95.682,Qualifying,25.509523809523813,28.33333333333333,67.87857142857142,0.0,5.0,6.0,2.0,1.0,42.0,5.554,55
85,Abu Dhabi Grand Prix,21,2019,HARD,BOT,2.0,94.973,Qualifying,25.300000000000004,27.776923076923076,69.21923076923076,0.0,20.0,4.0,2.0,1.0,26.0,5.554,55
86,Abu Dhabi Grand Prix,21,2019,HARD,GAS,2.0,97.089,Qualifying,25.676923076923078,28.765384615384615,66.69230769230771,0.0,11.0,18.0,2.0,1.0,52.0,5.554,55
87,Abu Dhabi Grand Prix,21,2019,HARD,GIO,2.0,98.114,Qualifying,25.93333333333333,29.550000000000004,65.03888888888889,0.0,16.0,16.0,2.0,1.0,18.0,5.554,55
88,Abu Dhabi Grand Prix,21,2019,HARD,GRO,2.0,98.051,Qualifying,25.430555555555554,28.066666666666666,68.32499999999999,0.0,15.0,15.0,2.0,2.0,36.0,5.554,55
89,Abu Dhabi Grand Prix,21,2019,HARD,HAM,2.0,94.779,Qualifying,25.344827586206897,27.858620689655176,68.82758620689656,0.0,1.0,1.0,2.0,1.0,29.0,5.554,55
90,Abu Dhabi Grand Prix,21,2019,HARD,KUB,1.0,99.236,Qualifying,26.11666666666667,29.9375,63.73749999999999,0.0,19.0,19.0,1.0,1.0,24.0,5.554,55
91,Abu Dhabi Grand Prix,21,2019,HARD,KVY,1.0,97.141,Qualifying,25.9,29.26,64.94500000000001,0.0,13.0,9.0,1.0,1.0,40.0,5.554,55
92,Abu Dhabi Grand Prix,21,2019,HARD,LEC,2.0,95.219,Qualifying,25.76923076923077,28.915384615384614,66.00384615384615,0.0,3.0,3.0,2.0,1.0,26.0,5.554,55
93,Abu Dhabi Grand Prix,21,2019,HARD,MAG,2.0,97.254,Qualifying,25.405882352941177,27.999999999999996,68.42647058823529,0.0,14.0,14.0,2.0,2.0,34.0,5.554,55
94,Abu Dhabi Grand Prix,21,2019,HARD,NOR,2.0,96.436,Qualifying,25.569565217391304,28.536956521739132,67.38260869565218,0.0,6.0,8.0,2.0,1.0,46.0,5.554,55
95,Abu Dhabi Grand Prix,21,2019,HARD,PER,2.0,96.961,Qualifying,25.164705882352937,27.599999999999998,70.40588235294115,0.0,10.0,7.0,2.0,1.0,17.0,5.554,55
